App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30,"50,000",Free,0,Teen,Beauty,24-Jul-18,3.0.1,4.0.3 
Wrinkles and rejuvenation,BEAUTY,0,182,5.7,"100,000",Free,0,Everyone 10+,Beauty,20-Sep-17,8,3
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,"10,000",Free,0,Everyone,Beauty,9-Apr-18,3.3.9,4.0.3 
Photo Editor 2018,BEAUTY,4.5,134,17,"10,000",Free,0,Everyone,Beauty,1-Mar-18,1.2,4.0.3 
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,"10,000",Free,0,Everyone,Beauty,5-Apr-18,2.3.09,4.0.3 
Beauty Camera - Selfie Camera,BEAUTY,4,113715,0,"10,000,000",Free,0,Everyone,Beauty,3-Aug-17,0,0
Girls Hairstyles,BEAUTY,4.1,3595,0,"500,000",Free,0,Everyone,Beauty,24-May-18,0,4
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,"1,000,000",Free,0,Everyone,Beauty,21-Nov-17,1.4.2,4
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,"50,000",Free,0,Everyone,Beauty,18-Oct-17,1.0.0,4.0.3 
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,"10,000",Free,0,Everyone,Beauty,29-May-18,1,4
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57,"1,000,000",Free,0,Everyone,Beauty,24-Jul-18,18.5,5
Manicure - nail design,BEAUTY,0,119,3.7,"50,000",Free,0,Everyone,Beauty,23-Jul-18,1.3,4.1
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22,"500,000",Free,0,Everyone,Beauty,12-Jul-18,1.1.0,4.0.3 
Filters for B Live,BEAUTY,4.4,2280,24,"500,000",Free,0,Everyone,Beauty,14-May-18,1.1.0,4
Skin Care and Natural Beauty,BEAUTY,0,654,7.4,"100,000",Free,0,Teen,Beauty,17-Jul-18,1.15,4.1
Facial Wrinkle Reduction,BEAUTY,4.6,184,21,"10,000",Free,0,Everyone,Beauty,2-Jul-18,1.5,4.1
Makeup Videos,BEAUTY,3.8,9,3.4,"5,000",Free,0,Everyone,Beauty,7-Jun-18,1,4
"Secrets of beauty, youth and health",BEAUTY,0,77,2.9,"10,000",Free,0,Mature 17+,Beauty,8-Aug-17,2,2.3
Recipes and tips for losing weight,BEAUTY,0,35,3.1,"10,000",Free,0,Everyone 10+,Beauty,11-Dec-17,2,3
Discover Color,BEAUTY,4,364,6.4,"100,000",Free,0,Everyone,Beauty,24-May-18,1.1,4.0.3 
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,"5,000",Free,0,Everyone,Beauty,1-Jun-18,1.2.13,4.0.3 
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,"100,000",Free,0,Mature 17+,Beauty,1-Mar-17,1.0.2.0,1.6
"Lady adviser (beauty, health)",BEAUTY,0,30,9.9,"10,000",Free,0,Mature 17+,Beauty,24-Jan-18,3,3
